domain,label,ols_treat,ols_se,ols_p,did_treatpost,did_se,did_p,ddd_treatpostimpl,ddd_se,ddd_p
water_maturity_d,Water efficiency,0.09229957911806756,0.020807732379871234,9.171788997866348e-06,0.0033416087575289122,0.01621552903258035,0.836732634464578,0.029160576513278372,0.04149590707193919,0.4822216587148176
energy_saving_maturity_d,Energy saving,0.11557001529928923,0.017325772050543517,2.550885503020174e-11,0.005132868223874907,0.015093224217426593,0.7337980524243254,0.058787687346418475,0.04668328720250447,0.20792644997226162
green_energy_maturity_d,Green energy,0.22561608773106276,0.02446566355326987,2.923064551708858e-20,0.03854574102831837,0.01959672325970791,0.04918917416882333,0.13194943124932798,0.04264597497123743,0.00197434027444731
materials_maturity_d,Materials efficiency,0.07941310742001657,0.02154355417125744,0.00022765827872756625,0.04678916160055514,0.018202657699911556,0.010156423000621303,0.12535114990202423,0.06134157986810901,0.04100356154340287
green_suppliers_maturity_d,Green suppliers,0.1581168976905215,0.028428775627008126,2.6691289685071867e-08,0.044646142635849984,0.02450292792144305,0.0684437906995163,0.14172525144147108,0.046197754460451865,0.0021564432012320615
waste_reduction_maturity_d,Waste reduction,0.09450030997157265,0.01926235955245302,9.29728371855537e-07,0.024956771540229135,0.019642739318360716,0.2038944184350613,0.10189795293542826,0.050392508649474844,0.043167536357129714
sell_residues_maturity_d,Selling residues,0.1625023155987003,0.017246570499047417,4.413243678618911e-21,0.014183685255448192,0.025780575369380117,0.5822031477709386,0.06855404847934757,0.04649156212067859,0.14033405446867053
recycling_maturity_d,Recycling,0.0896719791174131,0.023161701459686327,0.00010813983817507716,0.04195540450422647,0.02491663633767491,0.09221433568108155,0.007871658571717677,0.029923740682173443,0.7925064111377669
eco_design_maturity_d,Eco-design,0.05996282319412082,0.015352492393253559,9.393798988790433e-05,-0.001705877703455462,0.01829937896850625,0.9257283692813436,0.02392849902431863,0.044984014964580335,0.5947721388679886
other_maturity_d,Other,0.01690352669208727,0.004711667824941401,0.0003337500911206786,-0.015914060650324822,0.010476956362995076,0.1287729728784093,0.0020553988607477673,0.02233566771602679,0.9266796337774864
